tempo, rssi, distancia, nivel_invasao, amostragem
16:07:51.239, -38, 0.5, 0, 0.050
16:07:51.335, -35, 0.5, 0, 0.050
16:07:51.497, -46, 0.5, 0, 0.050
16:07:51.594, -43, 0.5, 0, 0.050
16:07:51.692, -43, 0.5, 0, 0.050
16:07:51.788, -43, 0.5, 0, 0.050
16:07:51.884, -43, 0.5, 0, 0.050
16:07:51.980, -44, 0.5, 0, 0.050
16:07:52.108, -42, 0.5, 0, 0.050
16:07:52.204, -41, 0.5, 0, 0.050
16:07:52.333, -53, 0.5, 0, 0.050
16:07:52.463, -50, 0.5, 0, 0.050
16:07:52.560, -45, 0.5, 0, 0.050
16:07:52.657, -45, 0.5, 0, 0.050
16:07:52.754, -43, 0.5, 0, 0.050
16:07:52.851, -42, 0.5, 0, 0.050
16:07:53.044, -35, 0.5, 0, 0.050
16:07:53.140, -30, 0.5, 0, 0.050
16:07:53.300, -41, 0.5, 0, 0.050
16:07:53.396, -38, 0.5, 0, 0.050
16:07:53.492, -40, 0.5, 0, 0.050
16:07:53.588, -42, 0.5, 0, 0.050
16:07:53.685, -43, 0.5, 0, 0.050
16:07:53.912, -42, 0.5, 0, 0.050
16:07:54.138, -46, 0.5, 0, 0.050
16:07:54.267, -42, 0.5, 0, 0.050
16:07:54.364, -43, 0.5, 0, 0.050
16:07:54.460, -43, 0.5, 0, 0.050
16:07:54.557, -42, 0.5, 0, 0.050
16:07:54.653, -42, 0.5, 0, 0.050
16:07:54.750, -41, 0.5, 0, 0.050
16:07:54.846, -36, 0.5, 0, 0.050
16:07:55.007, -45, 0.5, 0, 0.050
16:07:55.104, -43, 0.5, 0, 0.050
16:07:55.199, -42, 0.5, 0, 0.050
16:07:55.296, -41, 0.5, 0, 0.050
16:07:55.424, -41, 0.5, 0, 0.050
16:07:55.523, -41, 0.5, 0, 0.050
16:07:55.620, -41, 0.5, 0, 0.050
16:07:55.716, -38, 0.5, 0, 0.050
16:07:55.812, -33, 0.5, 0, 0.050
16:07:55.974, -45, 0.5, 0, 0.050
16:07:56.071, -42, 0.5, 0, 0.050
16:07:56.168, -42, 0.5, 0, 0.050
16:07:56.265, -41, 0.5, 0, 0.050
